platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Databases,https://alison.com/course/master-django-web-development-hands-on-projects#outcomes,Master Django Web Development: Hands-On Projects,"Django is a powerful open-source web framework for developing secure web applications. In this hands-on course, you'll learn the fundamentals and build the confidence to create fully functional web applications through practical projects. By the end, you'll have a solid understanding of Django's features, allowing you to apply your skills to real-world projects. Enroll now to gain this valuable skill and enhance your web development capabilities.",en,Intermediate Level,3096,0,Certificate,Khan Arbaz,16,10
Alison,Databases,https://alison.com/course/advanced-diploma-in-modern-application-development#outcomes,Advanced Diploma in Modern Application Development,"In this free online course, you will learn key concepts and step by step methods to build an application from scratch in the 2020s. This online diploma course will teach you some important programming languages such as HTML, Java, and MySQL. This course also includes modern, need-to-know details of modern application development including database setup, cookies, encryption as well as protocols that will help you in application development.",en,Advanced Level,10456,0,Diploma,NPTEL,29,11
Alison,Databases,https://alison.com/course/sql-server-2014-t-sql-fundamentals#outcomes,SQL Server 2014: T-SQL Fundamentals,"This free online course has been specifically prepared for beginners in T-SQL and will help you understand the various aspects of SQL Server 2014. Study the differences between a data manipulation language (DLL) and data definition language (DDL), and explore concepts of normalization and concurrency. The course material also covers the operations of WHERE, ORDERBY and GROUPBY clauses, as well as the functions of the Cartesian product.",en,Intermediate Level,2446,0,Certificate,Workforce Academy Partnership,9,4
Alison,Databases,https://alison.com/course/fundamentals-of-perl-programming-revised#outcomes,Fundamentals of Perl Programming,"This free online fundamentals of Perl programming course will introduce you to the features of Perl and the basics of programming with it. Practical Extraction and Report Language (or Perl) is a programming language used for different tasks like extracting information from a text file, printing out a report, or converting a text file into another format. It is an interpreted language where codes can be run without compilation.",en,Beginner Level,2795,0,Certificate,Mark Berman,72,10
Alison,Databases,https://alison.com/course/diploma-in-sql-2014-developer-t-sql-and-net-code#outcomes,Diploma in SQL 2014 Developer : T-SQL and .NET Code,"This free online course will introduce you to the basics of T-SQL and .NET codes with respect to SQL 2014 Developer. SQL Server 2014 delivers mission-critical performance across all workloads with in-memory built-in, faster insights from any data with familiar tools, and a platform for hybrid cloud enabling organizations to easily build, deploy and manage solutions that span on-premises and cloud-based capabilities.",en,Intermediate Level,4954,0,Diploma,Workforce Academy Partnership,12,3
Alison,Databases,https://alison.com/course/mastering-genomics-unveiling-insights-through-rna-sequencing-analysis#outcomes,Mastering Genomics: Unveiling Insights Through RNA-Sequencing Analysis,"In the current course, you will practice a comprehensive bioinformatics/computational analysis on RNA sequencing (RNA-seq) data without any programming skills. Exploring RNA-seq databases and obtaining raw and processed RNA-seq will be taught in depth. Furthermore, you can acquire good skills in quality checking and treating of raw RNA-seq data. Meanwhile, you will learn the alignment process and counting of aligned reads using various packages.",en,Intermediate Level,816,0,Certificate,Mohamad Zamani,5,2
Alison,Databases,https://alison.com/course/microsoft-access-2013-advanced-master-databases#outcomes,Microsoft Access 2013 - Advanced Master Databases,"This free online Microsoft Access 2013 advanced course, designed for intermediate users will teach you about using master databases. In this course you will learn about Indexes and Movies Database and cover topics that discuss the Datasheet View, Controlling the Display, Advanced Sorting, and Filtering. With this course, you will learn advanced techniques that will help you supercharge your MS Access and database skills.",en,Beginner Level,6467,0,Certificate,SimonSezIT,10,3
Alison,Databases,https://alison.com/course/aws-hands-on-implementing-rds-dynamodb-and-crud-operations#outcomes,"AWS Hands-on: Implementing RDS, DynamoDB and CRUD Operations","When companies store data and require computing power, they turn to cloud computing options like Amazon Web Services. Depending on the use case, you'll want to know about relational and non-relational database types. This course will not only teach you Amazon RDS (a service that enables the use of various relational engines) and DynamoDB (non-relational), but you'll also develop them programmatically with the help of Python and Boto3.",en,Advanced Level,1260,0,Certificate,Niyazi Erdogan,3,5
Alison,Databases,https://alison.com/course/exploring-sql-server-2016-fundamentals#outcomes,Exploring SQL Server 2016: Fundamentals,‘Exploring SQL Server 2016: Fundamentals’ discusses fundamental aspects of the SQL Server 2016 software released by Microsoft. The course analyses different functions and feature improvements bundled in this version that responded to user complaints from the database community and the additions made to the SQL Server application for 2016. Start this course today to improve your understanding of databases!,en,Intermediate Level,2356,0,Certificate,Workforce Academy Partnership,2,4
Alison,Databases,https://alison.com/course/a-beginner-s-guide-to-mongodb#outcomes,A Beginner's Guide to MongoDB,"If you want to become a highly skilled developer or a DBA, MongoDB is an excellent place to start since it's user-friendly, adaptable and efficient. In this course, you will discover how to launch a fully-functional web app in no time. The objective is to build a trustworthy foundation that will prepare you for database administration. After acquiring this knowledge, you will immediately be more marketable to potential employers.",en,Advanced Level,2382,0,Certificate,Stone River eLearning,10,7
Alison,Databases,https://alison.com/course/diploma-in-information-coding-theory#outcomes,Diploma in Information Coding Theory,Are you aware of the procedure for eliminating redundancy in data communication? This course focuses on responding to this question by explaining the significance of error control coding in a digital communication system. Study the applications of source and channel coding techniques in real-world situations and learn about the methods of constructing robust error-correcting codes by concatenating simple codes.,en,Advanced Level,5956,0,Diploma,NPTEL,4,3
Alison,Databases,https://alison.com/course/sql-server-2014-management-studio#outcomes,SQL Server 2014: Management Studio,"This course introduces the learner to the basics of the SQL Server Management Studio system and provides practical approaches to implementing a database. Topics that will be covered include constraints and columns, indexes, data types, queries and much more. If you are looking to create or manage a database or write error-free codes with this software application, then this free online course is for you.",en,Beginner Level,3329,0,Certificate,Workforce Academy Partnership,12,3
Alison,Databases,https://alison.com/course/foundations-of-java-hibernate-orm#outcomes,Foundations of Java Hibernate ORM,"The main goal of the course is to help you develop the skills needed to use various persistence methods. Although this course will focus on persistence issues, it will also cover Java's object/relational mapping. A particular focus will be on the Hibernate object/relational mapping tool. So why are you still waiting? Develop the abilities to build scalable, expert applications employing complex software architecture.",en,Advanced Level,1252,0,Certificate,Stone River eLearning,4,3
Alison,Databases,https://alison.com/course/sql-server-core-2016#outcomes,SQL Server Core 2016,"SQL Server Core 2016 is a free online course that offers a guide to installing and exploring the SQL Server Core. SQL is a critical programming language that has a host of applications when it comes to managing and handling data, especially structured data, and this course covers everything from the SQL Server Management Studio's Features, Data Tools and how to make use of them in SQL to how to configure the server using the Management Studio.",en,Intermediate Level,5122,0,Certificate,Workforce Academy Partnership,5,2
Alison,Databases,https://alison.com/course/easy-approach-to-installing-nginx-php-mysql-ssl-and-wordpress-on-ubuntu#outcomes,"Easy approach to installing NGINX, PHP, MySQL, SSL & WordPress on Ubuntu",This free online course will introduce you to easy steps to install and secure phpMyAdmin. You will learn how to use it to manage your databases on Ubuntu safely. This course will show you how to set up a domain name to point to the NGINX server. It also explains how to make changes to the WordPress configuration file to ensure it works correctly. Sign up now!,en,Advanced Level,4471,0,Certificate,YouAccel Training,4,4
Alison,Databases,https://alison.com/course/sql-2014-developer-vs-2012-and-data-types#outcomes,SQL 2014 Developer: VS 2012 and Data Types,"SQL 2014 Developer: VS 2012 and Data Types is a free online course that gives you an insight into Visual Studio 2012 and Data Types. It explores the basics and implementation of different data types with the aid of example programs. Learners who take this course will gain vital proficiency in SQL statements, Queries and spatial data types. Register for this course today and enhance your SQL skills",en,Intermediate Level,835,0,Certificate,Workforce Academy Partnership,1,0
Alison,Databases,https://alison.com/course/a-beginner-s-guide-to-mysqli#outcomes,A Beginner's Guide to MySQLi,"MySQL Improved Extension (MySQLi) is a technique for connecting to databases from within PHP. This comprehensive course explores everything you need to know about working with MySQLi, from connecting to the database to fetching and getting results and using all available features. So why are you still waiting? Empower yourself by gaining the skills needed to build fast and scalable database-connected applications.",en,Advanced Level,1642,0,Certificate,Stone River eLearning,4,1
Alison,Databases,https://alison.com/course/how-to-display-everything-using-esp32-and-databases#outcomes,How to Display Everything using ESP32 and Databases,"The ESP32 board is a distinctive microcontroller unit that you can utilise in controlling any device from anywhere. Even if you have a little familiarity with Arduino Integrated Development Environment (IDE) and ESP32, this course is designed to provide you with an easy understanding of how to utilise them. This free online course will teach you how to program an ESP32 board to send its data to a web server and a webpage displaying the data.",en,Beginner Level,1327,0,Certificate,Ashraf Said AlMadhoun,3,2
Alison,Databases,https://alison.com/course/sql-server-2014-tour-and-installing#outcomes,SQL Server 2014: Tour and Installing,"‘SQL Server 2014: Tour and Installing’ is a free online course from Alison for database administrators to gain an understanding of Microsoft’s relational database management system. Learners who take this course will gain vital proficiency in the installation of SQL Server 2014, its management tools as well as the features of SQL Server Management Studio. Register for this course today and enhance your database management skills.",en,Intermediate Level,738,0,Certificate,Workforce Academy Partnership,1,1
