Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;Часть С;1_Часть С;2_Часть С;3_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
238123;"МОУ ""СОШ № 24 им.В.И.Пономаренко""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;1(2)1(3)2(2);1;1;2;;14;73;0;4
205025;МАОУ Гимназия № 2;Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-+-;+;+;-;+;+;-;+;+;+;-;+;-;2(2)3(3)0(2);2;3;0;;13;68;0;4
246056;"МОУ ""Лицей № 56""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++--+-+-+-+-;+;+;-;-;+;-;+;-;+;-;+;-;1(2)0(3)0(2);1;0;0;;7;36;0;3
227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)1(3)2(2);1;1;2;;15;78;0;4
216023;"МБОУ ""СОШ №3 г. Красноармейска""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;++--+-+++-+-;+;+;-;-;+;-;+;+;+;-;+;-;1(2)1(3)0(2);1;1;0;;9;47;0;3
220183;МОУ - СОШ с. Приволжское Марксовского района;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;30076;++++-+++-+--;+;+;+;+;-;+;+;+;-;+;-;-;2(2)0(3)2(2);2;0;2;;12;63;0;4
205093;МАОУ СОШ № 16;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++-++;+;+;+;-;+;-;+;+;+;-;+;+;2(2)1(3)2(2);2;1;2;;14;73;0;4
234123;"МОУ ""СОШ с.Идолга имени Героя Советского Союза А.А. Лапшова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-+--+++;+;+;+;+;+;-;+;-;-;+;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
247074;"МАОУ ""ООШ № 91""";Основная общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++--++++--+;+;+;+;-;-;+;+;+;+;-;-;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
232043;"МОУ ""СОШ п. Дубки""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+++++-;+;+;-;+;+;-;+;+;+;+;+;-;1(2)1(3)2(2);1;1;2;;13;68;0;4
245073;"МОУ ""СОШ № 67 им.О.И.Янковского""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+++++-+-;+;+;+;-;+;+;+;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;10;52;0;3
243025;"МОУ ""Гимназия № 7""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++-++;+;+;+;-;+;-;+;+;+;-;+;+;2(2)3(3)2(2);2;3;2;;16;84;0;5
205263;МАОУ СОШ № 15;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-++----;+;+;-;-;+;-;+;+;-;-;-;-;0(2)0(3)0(2);0;0;0;;5;26;0;3
205033;МАОУ СОШ № 4;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++++++---;+;+;+;+;+;+;+;+;+;-;-;-;1(2)0(3)0(2);1;0;0;;10;52;0;3
211093;"МОУ ""СОШ им. Г.И. Марчука р.п. Духовницкое""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;-+-++---+-+-;-;+;-;+;+;-;-;-;+;-;+;-;0(2)0(3)0(2);0;0;0;;5;26;0;3
240013;"МОУ ""СОШ № 2 им. В.А. Коновалова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+-+-+-;+;+;-;+;+;-;+;-;+;-;+;-;1(2)0(3)0(2);1;0;0;;8;42;0;3
246056;"МОУ ""Лицей № 56""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++-+-;+;+;+;-;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
202023;МБОУ - СОШ № 2 города Аркадака Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+--++++--+;+;-;+;-;-;+;+;+;+;-;-;+;1(2)0(3)0(2);1;0;0;;8;42;0;3
238383;"МОУ ""СОШ № 26""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+--++-;+;+;-;+;+;-;+;-;-;+;+;-;2(2)1(3)2(2);2;1;2;;12;63;0;4
243015;"МАОУ ""Гимназия № 4""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++++++++-;+;+;+;+;+;+;+;+;+;+;+;-;2(2)2(3)2(2);2;2;2;;17;89;0;5
243026;МОУ ЛПН;Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++++-;+;+;+;-;+;-;+;+;+;+;+;-;2(2)0(3)0(2);2;0;0;;11;57;0;4
238027;"МОУ ""СОШ № 30 им. П.М. Коваленко""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;2(2)3(3)2(2);2;3;2;;17;89;0;5
208015;Гимназия г.Вольска;Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++++++-++;+;+;+;+;+;+;+;+;+;-;+;+;1(2)0(3)0(2);1;0;0;;12;63;0;4
238383;"МОУ ""СОШ № 26""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++--+-+-++++;+;+;-;-;+;-;+;-;+;+;+;+;2(2)3(3)2(2);2;3;2;;15;78;0;4
246023;"МОУ ""СОШ № 44 имени Героя России Н. В. Исаева""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-++--;+;+;+;-;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238123;"МОУ ""СОШ № 24 им.В.И.Пономаренко""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-+-;+;+;-;+;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
243036;"МОУ ""Лицей № 107""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-++++++;+;+;+;-;+;-;+;+;+;+;+;+;0(2)0(3)0(2);0;0;0;;10;52;0;3
220173;МОУ - СОШ с. Полековское Марксовского района Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-+++-;+;+;+;-;+;-;+;-;+;+;+;-;1(2)3(3)2(2);1;3;2;;14;73;0;4
242043;"МОУ ""СОШ № 45""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-++++++;+;+;-;-;+;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
230113;"МОУ ""СОШ им. Героя Советского Союза Н.Г. Маркелова с.Красная Звезда Ртищевского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++---;+;+;-;+;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++--+++-+++-;+;+;-;-;+;+;+;-;+;+;+;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
232043;"МОУ ""СОШ п. Дубки""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;+---+-+-+++-;+;-;-;-;+;-;+;-;+;+;+;-;1(2)1(3)0(2);1;1;0;;8;42;0;3
243036;"МОУ ""Лицей № 107""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(3)0(2);2;2;0;;16;84;0;5
242043;"МОУ ""СОШ № 45""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++++-+-++-++;+;+;+;+;-;+;-;+;+;-;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
243015;"МАОУ ""Гимназия № 4""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++++++++-;+;+;+;+;+;+;+;+;+;+;+;-;2(2)3(3)2(2);2;3;2;;18;94;0;5
203063;МОУ - СОШ № 9 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+++++-+-;+;+;+;-;+;+;+;+;+;-;+;-;1(2)3(3)0(2);1;3;0;;13;68;0;4
238027;"МОУ ""СОШ № 30 им. П.М. Коваленко""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-+++--+;+;+;+;+;+;-;+;+;+;-;-;+;1(2)1(3)0(2);1;1;0;;11;57;0;4
238093;"МОУ ""СОШ №20""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+-+-+-++-+;+;-;+;-;+;-;+;-;+;+;-;+;0(2)0(3)0(2);0;0;0;;7;36;0;3
245053;"МАОУ ""СОШ № 51""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+-+++-+++-+-;+;-;+;+;+;-;+;+;+;-;+;-;1(2)3(3)0(2);1;3;0;;12;63;0;4
230053;"МОУ ""СОШ № 7 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++--++++-+-+;+;+;-;-;+;+;+;+;-;+;-;+;1(2)0(3)0(2);1;0;0;;9;47;0;3
206033;МОУ СОШ № 5 г. Балашова Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-++++++;+;+;-;-;+;-;+;+;+;+;+;+;1(2)3(3)2(2);1;3;2;;15;78;0;4
243036;"МОУ ""Лицей № 107""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-++;+;+;-;+;+;-;+;+;+;-;+;+;1(2)0(3)2(2);1;0;2;;12;63;0;4
203063;МОУ - СОШ № 9 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-+++-++;+;+;+;+;+;-;+;+;+;-;+;+;1(2)2(3)0(2);1;2;0;;13;68;0;4
246093;"МОУ""СОШ № 61""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+-+-+-++++;+;-;+;-;+;-;+;-;+;+;+;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
243025;"МОУ ""Гимназия № 7""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+-+++---++++;+;-;+;+;+;-;-;-;+;+;+;+;1(2)2(3)2(2);1;2;2;;13;68;0;4
238123;"МОУ ""СОШ № 24 им.В.И.Пономаренко""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-++++++;+;+;-;+;+;-;+;+;+;+;+;+;2(2)0(3)0(2);2;0;0;;12;63;0;4
243026;МОУ ЛПН;Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;2(2)3(3)2(2);2;3;2;;17;89;0;5
230213;"МАОУ ""СОШ № 8 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;1(2)0(3)2(2);1;0;2;;13;68;0;4
245073;"МОУ ""СОШ № 67 им.О.И.Янковского""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;++-+----++-+;+;+;-;+;-;-;-;-;+;+;-;+;1(2)1(3)0(2);1;1;0;;8;42;0;3
203063;МОУ - СОШ № 9 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;-+++++++--++;-;+;+;+;+;+;+;+;-;-;+;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
246093;"МОУ""СОШ № 61""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++++-+++-;+;+;-;+;+;+;+;-;+;+;+;-;1(2)0(3)2(2);1;0;2;;12;63;0;4
238093;"МОУ ""СОШ №20""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-++++++--;+;+;+;-;+;+;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;9;47;0;3
247026;"МОУ ""Лицей № 53""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-+++-;+;+;+;-;+;-;+;-;+;+;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
243026;МОУ ЛПН;Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-++++++-+;+;+;+;-;+;+;+;+;+;+;-;+;1(2)0(3)2(2);1;0;2;;13;68;0;4
221143;"МОУ ""СОШ с. Тепловка""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+-+++-;+;+;+;+;+;-;+;-;+;+;+;-;1(2)2(3)0(2);1;2;0;;12;63;0;4
224093;"МБОУ ""СОШ им. М. М. Рудченко с. Перелюб""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+++++-;+;+;-;+;+;-;+;+;+;+;+;-;1(2)1(3)0(2);1;1;0;;11;57;0;4
247027;"МОУ ""СОШ № 59 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ПРЕДМЕТОВ""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+----+;+;+;+;-;+;-;+;-;-;-;-;+;0(2)0(3)0(2);0;0;0;;6;31;0;3
230053;"МОУ ""СОШ № 7 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++++++++-;+;+;+;+;+;+;+;+;+;+;+;-;1(2)0(3)0(2);1;0;0;;12;63;0;4
220023;МОУ - СОШ № 3 г. Маркса;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++++++-+-;+;+;+;+;+;+;+;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;11;57;0;4
243025;"МОУ ""Гимназия № 7""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+-+-+-+-+++-;+;-;+;-;+;-;+;-;+;+;+;-;1(2)0(3)2(2);1;0;2;;10;52;0;3
242063;"МОУ ""СОШ № 97 ИМ. ГЕРОЯ СОВЕТСКОГО СОЮЗА В.Г. КЛОЧКОВА""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)3(3)0(2);1;3;0;;15;78;0;4
247025;"МОУ ""ГИМНАЗИЯ № 58""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++--++---;+;+;-;+;+;-;-;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
205263;МАОУ СОШ № 15;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++++-+---;+;+;-;+;+;+;+;-;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
205143;МАОУ СОШ № 25;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;30076;+++---------;+;+;+;-;-;-;-;-;-;-;-;-;0(2)0(3)0(2);0;0;0;;3;15;0;2
204013;"МБОУ ""СОШ № 1 р.п. Базарный Карабулак Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)0(3)2(2);1;0;2;;14;73;0;4
205263;МАОУ СОШ № 15;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
216023;"МБОУ ""СОШ №3 г. Красноармейска""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++-++;+;+;+;-;+;-;+;+;+;-;+;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
238383;"МОУ ""СОШ № 26""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
246045;"МОУ ""Гимназия № 75 имени Д.М. Карбышева""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+++---++--;+;-;+;+;+;-;-;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
245033;"МАОУ ""СОШ № 21 им. П.А. Столыпина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;--+-+---+---;-;-;+;-;+;-;-;-;+;-;-;-;0(2)0(3)0(2);0;0;0;;3;15;0;2
247083;"МОУ ""СОШ № 84""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-++++-+;+;+;+;+;+;-;+;+;+;+;-;+;2(2)0(3)0(2);2;0;0;;12;63;0;4
242043;"МОУ ""СОШ № 45""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+--++---;+;+;+;-;+;-;-;+;+;-;-;-;1(2)0(3)0(2);1;0;0;;7;36;0;3
238093;"МОУ ""СОШ №20""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+-+----+--;+;-;+;-;+;-;-;-;-;+;-;-;0(2)0(3)0(2);0;0;0;;4;21;0;3
253013;"ФГКОУ ""СОШ № 24""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+-+---;+;+;+;-;+;-;+;-;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
220023;МОУ - СОШ № 3 г. Маркса;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++--++++-;+;+;-;+;+;-;-;+;+;+;+;-;1(2)2(3)0(2);1;2;0;;11;57;0;4
246036;"МОУ ""Лицей № 50""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+-+++-;+;+;-;+;-;-;+;-;+;+;+;-;2(2)3(3)0(2);2;3;0;;12;63;0;4
232183;"МОУ ""СОШ с. Усть-Курдюм""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-------;+;+;-;-;+;-;-;-;-;-;-;-;1(2)0(3)0(2);1;0;0;;4;21;0;3
238303;"МОУ ""СОШ п. Пробуждение им. Л.А. Кассиля""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;1(2)3(3)0(2);1;3;0;;16;84;0;5
238074;"МОУ ""ООШ п. Анисовский""";Основная общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
230213;"МАОУ ""СОШ № 8 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;+--+--+++-+-;+;-;-;+;-;-;+;+;+;-;+;-;2(2)0(3)0(2);2;0;0;;8;42;0;3
242063;"МОУ ""СОШ № 97 ИМ. ГЕРОЯ СОВЕТСКОГО СОЮЗА В.Г. КЛОЧКОВА""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;-+-++--+++++;-;+;-;+;+;-;-;+;+;+;+;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
206253;МОУ СОШ п. Соцземледельский Балашовского района Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;1(2)0(3)2(2);1;0;2;;13;68;0;4
243026;МОУ ЛПН;Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+++++-;+;+;+;-;+;-;+;+;+;+;+;-;1(2)2(3)2(2);1;2;2;;14;73;0;4
232103;"МОУ ""СОШ п. Расково""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-++++++++;+;+;+;-;+;+;+;+;+;+;+;+;1(2)3(3)2(2);1;3;2;;17;89;0;5
243015;"МАОУ ""Гимназия № 4""";Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+-+++-+-+++-;+;-;+;+;+;-;+;-;+;+;+;-;1(2)2(3)0(2);1;2;0;;11;57;0;4
220023;МОУ - СОШ № 3 г. Маркса;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;+--++-+-+++-;+;-;-;+;+;-;+;-;+;+;+;-;1(2)0(3)0(2);1;0;0;;8;42;0;3
202023;МБОУ - СОШ № 2 города Аркадака Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++++-+-++;+;+;+;+;+;+;+;-;+;-;+;+;1(2)0(3)2(2);1;0;2;;13;68;0;4
224013;"МБОУ ""СОШ с. Грачёв Куст""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++++-;+;+;-;-;+;-;+;+;+;+;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
201023;МБОУ СОШ № 2 с. Александров-Гай Александрово-Гайского муниципального района Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;++++--+-+++-;+;+;+;+;-;-;+;-;+;+;+;-;2(2)0(3)2(2);2;0;2;;12;63;0;4
246173;"МОУ ""СОШ № 101""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+++++++-;+;+;+;-;+;+;+;+;+;+;+;-;1(2)0(3)2(2);1;0;2;;13;68;0;4
246023;"МОУ ""СОШ № 44 имени Героя России Н. В. Исаева""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-+++-;+;+;+;-;+;-;+;-;+;+;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238093;"МОУ ""СОШ №20""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238093;"МОУ ""СОШ №20""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-----+-;+;+;-;+;+;-;-;-;-;-;+;-;0(2)0(3)0(2);0;0;0;;5;26;0;3
205025;МАОУ Гимназия № 2;Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-++-+++;+;+;+;-;+;-;+;+;-;+;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
205015;МАОУ Гимназия № 1;Гимназия;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-+++-;+;+;+;-;+;-;+;-;+;+;+;-;2(2)1(3)0(2);2;1;0;;11;57;0;4
216023;"МБОУ ""СОШ №3 г. Красноармейска""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)1(3)2(2);1;1;2;;15;78;0;4
213073;"МОУ ""СОШ с. Миусс Ершовского района Саратовской области"" им. Героя Советского Союза И.М. Трифонова";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-++-++-;+;+;+;-;+;-;+;+;-;+;+;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
232133;"МАОУ ""СОШ с. Синенькие""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+-+++-;+;+;+;+;+;-;+;-;+;+;+;-;1(2)0(3)2(2);1;0;2;;12;63;0;4
247026;"МОУ ""Лицей № 53""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-----++;+;+;+;-;+;-;-;-;-;-;+;+;0(2)0(3)0(2);0;0;0;;6;31;0;3
