platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Machine Learning,https://stepik.org/course/125587/,Курс по машинному обучению. Проект «ИИ Старт»,"На курсе вы познакомитесь с искусственным интеллектом и машинным обучением на языке Python. Мы погрузим в основы математики для Data Science и библиотеки для работы с данными, разберём алгоритмы и методы создания моделей ИИ, а затем перейдём к практике — её будет много.",ru,easy,34235,-,,Школа глубокого обучения МФТИ;ИИ Старт;Академия искусственного интеллекта,4.380952380952381,42
Stepik,Machine Learning,https://stepik.org/course/98974/,"""Поколение Python"": ООП","Курс продолжает серию ""Поколение Python"" и рассказывает о концепции объектно-ориентированного программирования на языке Python",ru,normal,8045,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.944444444444445,738
Stepik,Machine Learning,https://stepik.org/course/56395/,Цифровые инструменты и сервисы для учителя,"Открытый онлайн-курс разработан по заказу Института ЮНЕСКО по информационным технологиям в образовании для повышения квалификации учителей в области использования новых цифровых инструментов и сервисов, образовательных инноваций и веб-технологий в учебном процессе и профессиональном развитии.",ru,,34867,-,Certificate,ИИТО ЮНЕСКО,4.852092645266152,2461
Stepik,Machine Learning,https://stepik.org/course/3356/,Практикум по математике и Python,Практикум для начинающих осваивать Python с наборами дополнительных задач и материалов для углублённого и более детального изучения программирования и математики. Подходит для отработки навыков при обучении анализу данных.,ru,normal,67142,-,Certificate,Алексей Задойный,4.828402366863905,169
Stepik,Machine Learning,https://stepik.org/course/261090/,«ElectroDrive: Твой путь в мир электромобилей,"Приготовьтесь заглянуть под капот будущего! Наш бесплатный курс «ElectroDrive» — это ваш пропуск в мир электромобилей, где мы на простом языке разберем, как эти тихие и стремительные машины на самом деле работают. ",ru,easy,388,-,,Сергей Гусев,4.9,20
Stepik,Machine Learning,https://stepik.org/course/250071/,Финтех от А до Я: введение в индустрию,"Это первый системный курс о финтехе на русском языке такого масштаба. Мы разберём, как реально работают банковские карты, платежные системы, SWIFT, Open Banking, BNPL, криптовалюты и цифровые валюты. Всё объясняется простыми словами и наглядными схемами, от основ к продвинутым темам. Курс идеально подходит всем, кто хочет войти в индустрию или углубить знания: новичкам, специалистам из смежных областей, продакт-менеджерам, аналитикам и предпринимателям.",ru,easy,130,6990 ₽,Certificate,Артем Смирнов,5.0,7
Stepik,Machine Learning,https://stepik.org/course/249605/,Мини-курс по Agno: создай личного ИИ-агента на Python,"Курс последовательно раскрывает секреты создания ИИ-агентов на Python.

Без сложного кода - только понятная теория, живая практика и реальные примеры.
Шаг за шагом ты соберёшь умного AI помощника, который умеет помнить, рассуждать и взаимодействовать с внешним миром.

Курс подходит даже новичкам в программировании.",ru,easy,1085,-,,Максим Рагалевич,4.956521739130435,23
Stepik,Machine Learning,https://stepik.org/course/241239/,Искусственный интеллект. Вводный курс (без сертификата),"Это вводный курс по искусственному интеллекту для начинающих. Аналогичный курс с сертификатом доступен https://stepik.org/248640. Вы узнаете, как работает ИИ, какие бывают нейросети и сервисы, как с ними взаимодействовать, и научитесь применять нейросети в реальных задачах. Практические задания помогут закрепить теорию и использовать ИИ в жизни, работе и творчестве.",ru,easy,2451,-,,Иван Коробко,4.86734693877551,98
Stepik,Machine Learning,https://stepik.org/course/214389/,🤖 Машинное обучение с помощью ClearML и Pytorch Lightning ⚡,"Разбираем продвинутую связку ML инструментов для комфортного и быстрого обучения нейронных сетей и других алгоритмов. Учимся писать продакшен код и подключать к нему систему логирования. 
Курс от победителей в номинации ""Прорыв Года"" Stepik Awards.",ru,normal,245,2150 ₽,Certificate,Алерон 🍕 Миленькин;Иван Александров,4.75,4
Stepik,Machine Learning,https://stepik.org/course/213585/,Библиотеки Pandas и Seaborn для анализа данных. Базовый уровень,Курс по основным функциям Pandas и Seaborn – мощных библиотек языка Python для анализа данных. Курс даст вам базовое понимание этих инструментов.,ru,easy,4218,-,,Andrey Spirikhin,4.666666666666667,45
Stepik,Machine Learning,https://stepik.org/course/212383/,Пакет курсов. Базы данных и SQL с нуля до профи,"Весь SQL, который пригодится в работе, в одном пакете. DDL, DML, транзакции, представления, процедуры, оптимизация и не только. Практика: тесты, задачи, пишем много кода.",ru,easy,876,1850 ₽,Certificate,Pragmatic Programmer,5.0,29
Stepik,Machine Learning,https://stepik.org/course/209150/,Python Engineer с нуля до junior,"Курс от создателей ""Data Engineer с нуля до junior"". На курсе изучаются основные и углубленные конструкции языка программирования Python. Рассматриваются архитектура Python приложений, пишутся первые чат-боты, изучаются различные методы оптимизации приложений. Множество глав курса посвящено таким библиотекам, как Pandas, MatPlotLib, TensorFlow, Numpy. Создаются нейросети с различной архитектурой. По окончании курса Вам будет предложено решить финальное задание на выбор, которое пойдет в Ваше портфолио.",ru,easy,1005,4000 ₽,Certificate,NovaData.,4.947368421052632,19
Stepik,Machine Learning,https://stepik.org/course/201649/,C# Тренажер,"Курс включает в себя множество практических задач по программированию на языке C#, которые способствуют повышению вашего уровня навыков в этой области. В ходе обучения вы столкнетесь с разнообразными заданиями, включая как классические, так и те, которые часто встречаются на собеседованиях в ведущих компаниях, таких как Microsoft, EA, Intel, Amazon, Uber и Unity. Это обеспечит разностороннее развитие ваших навыков работы с переменными, типами данных, операторами, циклами, функциями и алгоритмами.",ru,normal,11938,-,,IT Guru,5.0,8
Stepik,Machine Learning,https://stepik.org/course/194633/,Старт в Data Science!,"Язык Python сейчас является необходимым для любого аналитика данных, дата саентиста и ML инженера. Мини-курс посвящен изучению основ программирования на языке Python, а также освоению ключевых подходов и инструментов аналитики и визуализации данных.",ru,easy,8286,-,,Елена Кантонистова,4.545454545454546,22
Stepik,Machine Learning,https://stepik.org/course/176504/,Проектирование архитектуры и интеграций сервисов (с проверкой),"Вы отработаете на практике проектирование архитектуры веб-сервиса и интеграций с нуля. Соберёте требования (ФТ и НФТ), решите архитектурные вопросы (стиль, база данных, масштабирование), настроите межсервисные взаимодействия API (от gRPC и REST, до WS и Webhook) или брокеры сообщений (Kafka / MQ), задокументируете их в Swagger и опишите инфраструктуру вашего проекта. Поддержка преподавателя и задачи с проверкой.",ru,easy,392,25000 ₽,Certificate,Глеб Учитель,5.0,5
Stepik,Machine Learning,https://stepik.org/course/175382/,"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение","Более 70 часов видео-лекций! 👍 Победитель Stepik Awards в номинации ""Прорыв года""! 🏆 Самые востребованные навыки Python + SQL + Machine Learning в едином пакете - для Дата Сайентистов, Аналитиков данных, Инженеров данных и всех интересующихся. Много практики + теория тоже есть! 🔥Оперативная поддержка автора!🔥 Почитайте отзывы на отдельные курсы, входящие в пакет (особенно отзывы на курс по машинному обучению), и смелее записывайтесь!",ru,,2527,3900 ₽,,Влад Бурмистров,4.958333333333333,24
